SERVICEREQUESTID,SERVICEPRIORITY,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODE,SERVICETYPECODEDESCRIPTION,SERVICEORDERDATE,SERVICEORDERSTATUS,SERVICECALLCOUNT,AGENCYABBREVIATION,INSPECTIONFLAG,INSPECTIONDATE,RESOLUTION,RESOLUTIONDATE,SERVICEDUEDATE,SERVICENOTES,PARENTSERVICEREQUESTID,ADDDATE,LASTMODIFIEDDATE,SITEADDRESS,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,SERVICESOURCECODE
14-00029840,UNKNOWN,S0346,Sanitation Enforcement,SWMSWEEN,Sanitation Enforcement,2/7/2014 6:07:29 PM,CLOSED,1,DPW,Y,2/10/2014 3:45:00 PM,Nothing Found/No Cause for Action - Close SR,2/10/2014 3:45:08 PM,2/14/2014 6:07:29 PM,,,2/7/2014 6:07:29 PM,2/10/2014 4:06:37 PM,1829 MINTWOOD PLACE NW,38.92147250053010,-77.04428066896370,20009,235341,78667,78667,1,1C,1C03,THIRD,303,1,NONE,NONE,NONE,PHONE
14-00029841,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 6:08:08 PM,CLOSED,1,DPW,N,,UNKNOWN,2/21/2014 12:16:28 PM,3/4/2014 6:08:08 PM,,,2/7/2014 6:08:08 PM,1/3/2015 12:01:18 PM,1323 W STREET SE,38.86425504595640,-76.98705894060960,20020,67495,42189,42189,8,8A,8A05,SEVENTH,701,28,NONE,NONE,NONE,PHONE
14-00029842,UNKNOWN,S0346,Sanitation Enforcement,SWMSWEEN,Sanitation Enforcement,2/7/2014 6:12:16 PM,CLOSED,1,DPW,Y,2/10/2014 1:26:00 PM,Ticket Issued - Close SR,2/10/2014 3:44:24 PM,2/14/2014 6:12:16 PM,,,2/7/2014 6:12:16 PM,2/10/2014 4:06:37 PM,3800 T STREET NW,38.91512832274730,-77.07438438590810,20007,270649,113803,113803,2,2E,2E01,SECOND,206,4,NONE,NONE,NONE,PHONE
14-00029843,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 6:13:17 PM,CLOSED,1,DPW,Y,2/7/2014 9:26:00 PM,Not Enforceable - Close SR,2/7/2014 9:29:56 PM,2/11/2014 6:13:17 PM,RUSH HOUR WAS OVER @ 8:34PM,,2/7/2014 6:13:17 PM,1/3/2015 12:01:18 PM,2600 - 2799 BLOCK M STREET NW,38.90525400736120,-77.05588097681260,,0,456220,392248,2,2E,2E06,SECOND,206,4,NONE,NONE,NONE,PHONE
14-00029844,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:14:01 PM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:36 PM,2/14/2014 6:14:01 PM,Comments update:  14-00029844-Broken Parking Meter  Meter Found Working,,2/7/2014 6:14:01 PM,2/12/2014 10:07:21 AM,1400 - 1499 BLOCK U STREET NW,38.91699720149650,-77.03324147311190,,0,455124,391152,2,2B,2B09,THIRD,301,3,NONE,NONE,NONE,OPEN311
14-00029845,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 6:15:50 PM,CLOSED,1,DPW,Y,2/7/2014 9:19:00 PM,Not Enforceable - Close SR,2/7/2014 9:23:18 PM,2/11/2014 6:15:50 PM,NO RING TONE OR DIAL TONE @ 8:43PM,,2/7/2014 6:15:50 PM,10/16/2014 1:06:29 PM,1315 16TH STREET NW,38.90826638329820,-77.03613020095430,20036,242317,85240,85240,2,2B,2B05,SECOND,208,6,NONE,NONE,NONE,PHONE
14-00029846,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 6:16:39 PM,CLOSED,1,DPW,N,,UNKNOWN,2/24/2014 11:21:39 AM,3/4/2014 6:16:39 PM,,,2/7/2014 6:16:39 PM,12/15/2014 10:03:34 AM,510 15TH STREET NE,38.89648054181650,-76.98387319963440,20002,13677,7542,7542,6,6A,6A06,FIRST,108,25,NONE,NONE,NONE,PHONE
14-00029847,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 6:18:42 PM,CLOSED,1,DPW,Y,2/7/2014 9:57:00 PM,Ticket Issued - Close SR,2/7/2014 10:02:06 PM,2/11/2014 6:18:42 PM,NOI 8129625971 @ 9:08PM  BDG 430,,2/7/2014 6:18:42 PM,2/7/2014 10:35:46 PM,2116 12TH PLACE NW,38.91856108107910,-77.02914174733230,20009,284201,122687,122687,1,1B,1B04,THIRD,305,3,NONE,NONE,NONE,PHONE
14-00029848,UNKNOWN,S0081,Curb and Gutter Repair,SISYINOD,SIOD ,2/7/2014 6:20:13 PM,CLOSED,1,DDOT,N,2/28/2014 3:25:42 PM,UNKNOWN,2/28/2014 3:22:02 PM,7/2/2014 6:20:13 PM,"Comments update:  14-00029848-Curb and Gutter Repair 3201-3247 17th Street Northwest, Washington, DC 20010, USA   This issue has an image. You can view it here http://seeclickfix.com/issues/930851 .   Bricks in Lamont Park tree box need replacement.  Nort By BHATIA, SANDEEP: 2/28/2014 3:22:02 PM This request needs to be completed by NPS ",,2/7/2014 6:20:13 PM,2/28/2014 3:38:31 PM,3200 17TH STREET NW,38.93165187191020,-77.03904486985880,20010,233514,76816,76816,1,1D,1D01,FOURTH,408,2,NONE,NONE,NONE,OPEN311
14-00029849,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 6:26:16 PM,CLOSED,1,DPW,N,,UNKNOWN,2/18/2014 12:01:54 PM,3/4/2014 6:26:16 PM,,,2/7/2014 6:26:16 PM,11/4/2014 12:35:55 PM,911 W STREET NW,38.91935178622110,-77.02548387397790,20001,239383,82418,82418,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,PHONE
14-00029850,UNKNOWN,S0011,Alley Cleaning,STRALLCL,Street Cleaning,2/7/2014 6:26:49 PM,CLOSED,1,DPW,N,,UNKNOWN,2/28/2014 7:34:36 AM,3/25/2014 6:26:49 PM,,,2/7/2014 6:26:49 PM,12/2/2014 4:35:09 PM,1523 FORT DUPONT STREET SE,38.86829723830360,-76.94483490395060,20020,61404,37653,37653,7,7B,7B07,SIXTH,605,34,NONE,NONE,NONE,PHONE
14-00029851,UNKNOWN,S0391,Street Cleaning,STRALLCL,Street Cleaning,2/7/2014 6:27:51 PM,CLOSED,1,DPW,N,2/20/2014 1:53:00 PM,Complete - Close SR,2/20/2014 1:53:31 PM,3/20/2014 6:27:51 PM,COMPLETED BY CH.....CLOSED BY NDAVALL,,2/7/2014 6:27:51 PM,12/2/2014 4:35:09 PM,4350 TEXAS AVENUE SE,38.88336456650410,-76.942168469380,20019,22871,13072,13072,7,7A,7A02,SIXTH,603,33,NONE,NONE,NONE,PHONE
14-00029852,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:30:03 PM,CLOSED,1,DDOT,N,2/11/2014 11:21:50 PM,UNKNOWN,2/11/2014 11:18:31 PM,2/14/2014 6:30:03 PM,Comments update:  14-00029852-Broken Parking Meter  Meter Found Working,,2/7/2014 6:30:03 PM,2/12/2014 10:36:13 AM,1600 - 1699 BLOCK 39TH STREET NW,38.91327609759110,-77.07555938410740,,0,455546,391574,2,2E,2E01,SECOND,206,4,NONE,NONE,NONE,OPEN311
14-00029853,UNKNOWN,S0181,Illegal Dumping,SWMSWEDU,Illegal Dumping,2/7/2014 6:30:10 PM,OVERDUE CLOSED,1,DPW,N,2/21/2014 9:18:00 AM,Street Cleaning Needed - Close SR,2/21/2014 9:18:56 AM,2/14/2014 6:30:10 PM,,,2/7/2014 6:30:10 PM,2/21/2014 9:35:58 AM,1609 NEW JERSEY AVENUE NW,38.911519288725,-77.01660051170440,20001,237328,79984,79984,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,OPEN311
14-00029854,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 6:31:19 PM,CLOSED,1,DPW,N,,UNKNOWN,2/24/2014 11:42:03 AM,3/4/2014 6:31:19 PM,,,2/7/2014 6:31:19 PM,1/3/2015 12:01:18 PM,1910 T PLACE SE,38.86684655244790,-76.97691387958210,20020,54121,22381,22381,8,7B,7B01,SEVENTH,701,34,NONE,NONE,NONE,PHONE
14-00029855,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:34:04 PM,CLOSED,1,DDOT,N,2/11/2014 4:37:28 PM,UNKNOWN,2/11/2014 4:33:27 PM,2/14/2014 6:34:04 PM,Comments update:  14-00029855-Broken Parking Meter  Meter Found Working,,2/7/2014 6:34:04 PM,2/12/2014 10:07:21 AM,1200 - 1299 BLOCK 20TH STREET NW,38.90645072306590,-77.04489205836370,,0,455218,391246,2,2B,2B06,SECOND,208,6,NONE,NONE,NONE,OPEN311
14-00029856,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 6:37:07 PM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 9:21:58 AM,3/4/2014 6:37:07 PM,,,2/7/2014 6:37:07 PM,1/3/2015 12:01:18 PM,1327 PARK ROAD NW,38.93118920265290,-77.03058614100340,20010,230916,73999,73999,1,1A,1A06,THIRD,302,2,NONE,NONE,NONE,PHONE
14-00029857,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:38:32 PM,CLOSED,1,DDOT,N,2/11/2014 12:52:03 PM,UNKNOWN,2/11/2014 12:48:31 PM,2/14/2014 6:38:32 PM,Comments update:  14-00029857-Broken Parking Meter  Meter Found Working,,2/7/2014 6:38:32 PM,2/12/2014 1:07:26 AM,900 - 999 BLOCK 11TH STREET NW,38.90192867909830,-77.02703740261750,,0,455625,391653,2,2F,2F06,FIRST,101,8,NONE,NONE,NONE,OPEN311
14-00029858,UNKNOWN,S0011,Alley Cleaning,STRALLCL,Street Cleaning,2/7/2014 6:38:47 PM,CLOSED,1,DPW,N,,UNKNOWN,2/24/2014 12:25:18 PM,3/25/2014 6:38:47 PM,,,2/7/2014 6:38:47 PM,12/2/2014 4:35:09 PM,3109 G STREET SE,38.880038500671,-76.96250466862840,20019,40477,26145,26145,7,7A,7A07,SIXTH,605,34,NONE,NONE,NONE,PHONE
14-00029859,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:39:37 PM,CLOSED,1,DDOT,N,2/11/2014 11:21:50 PM,UNKNOWN,2/11/2014 11:18:31 PM,2/14/2014 6:39:37 PM,Comments update:  14-00029859-Broken Parking Meter  Meter Found Working,,2/7/2014 6:39:37 PM,2/12/2014 10:36:13 AM,2200 - 2299 BLOCK M STREET NW,38.90526557488110,-77.04946058202840,,0,455036,391064,2,2A,2A02,SECOND,208,5,NONE,NONE,NONE,OPEN311
14-00029860,UNKNOWN,S0391,Street Cleaning,STRALLCL,Street Cleaning,2/7/2014 6:40:05 PM,CLOSED,1,DPW,N,,UNKNOWN,2/18/2014 8:03:12 AM,3/20/2014 6:40:05 PM,,14-00020304,2/7/2014 6:40:05 PM,12/2/2014 4:35:09 PM,5400 - 5599 BLOCK D STREET SE,38.88292460797530,-76.92325923337310,,0,454936,390964,7,7E,7E06,SIXTH,604,33,NONE,NONE,NONE,PHONE
14-00029861,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:40:54 PM,CLOSED,1,DDOT,N,2/11/2014 2:22:13 PM,UNKNOWN,2/11/2014 2:18:23 PM,2/14/2014 6:40:54 PM,Comments update:  14-00029861-Broken Parking Meter  Meter Found Working,,2/7/2014 6:40:54 PM,2/12/2014 7:36:16 AM,700 - 799 BLOCK 23RD STREET NW,38.89895058497460,-77.05014171292310,,0,455307,391335,2,2A,2A05,SECOND,207,5,NONE,NONE,NONE,OPEN311
14-00029862,UNKNOWN,CFSAMISS,CFSA Missing/Absconded,CFSA,CFSA,2/7/2014 6:43:49 PM,OVERDUE CLOSED,1,CFSA,N,,Complete,2/12/2014 9:43:50 AM,2/10/2014 7:43:49 PM,R2014018409,,2/7/2014 6:43:49 PM,2/12/2014 10:07:21 AM,4801 SARGENT ROAD NE,38.94844640171390,-76.98680093875120,20017,288277,126817,126817,5,5A,5A08,FOURTH,405,20,NONE,NONE,NONE,WEB
14-00029863,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:46:37 PM,CLOSED,1,DDOT,N,2/9/2014 8:23:33 PM,UNKNOWN,2/9/2014 8:18:40 PM,2/14/2014 6:46:37 PM,Comments update:  14-00029863-Broken Parking Meter  Meter Found Working,,2/7/2014 6:46:37 PM,2/9/2014 11:48:44 PM,500 - 599 BLOCK 6TH STREET NW,38.89673498589050,-77.01990255334050,,0,457503,393525,2,2C,2C03,FIRST,102,8,NONE,NONE,NONE,OPEN311
14-00029864,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:46:50 PM,CLOSED,1,DDOT,N,2/10/2014 12:52:23 PM,UNKNOWN,2/10/2014 12:48:10 PM,2/14/2014 6:46:50 PM,Comments update:  14-00029864-Broken Parking Meter  Meter Found Working,,2/7/2014 6:46:50 PM,2/10/2014 3:36:01 PM,900 - 999 BLOCK H STREET NW,38.89981352464110,-77.02497927017390,,0,455083,391111,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,OPEN311
14-00029865,UNKNOWN,S05AL,Alleylight Repair Investigation,TRAOP001,TOA,2/7/2014 6:47:55 PM,CLOSED,1,DDOT,N,2/9/2014 1:37:48 PM,UNKNOWN,2/9/2014 1:33:06 PM,2/11/2014 6:47:55 PM,Comments update:  14-00029865-light in the alley is outRepairs Completed,,2/7/2014 6:47:55 PM,1/3/2015 12:01:18 PM,3436 23RD STREET SE,38.84674430189150,-76.97144580889820,20020,34489,19374,19374,8,8B,8B06,SEVENTH,704,38,NONE,NONE,NONE,PHONE
14-00029866,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:49:25 PM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:37 PM,2/14/2014 6:49:25 PM,Comments update:  14-00029866-Broken Parking MeterNo Action Taken,,2/7/2014 6:49:25 PM,2/12/2014 10:07:22 AM,1000 - 1099 BLOCK K STREET NW,38.90252213967010,-77.02651289948380,,0,457030,393052,2,2F,2F06,FIRST,101,8,NONE,NONE,NONE,OPEN311
14-00029867,UNKNOWN,HYPSHEIN,Hypothermia Shelter Information,311CALCE,311 Call Center,2/7/2014 6:50:54 PM,OPEN,1,Call Center,N,,UNKNOWN,,,,,2/7/2014 6:50:54 PM,1/3/2015 12:02:07 PM,600 - 699 BLOCK 17TH STREET NW,38.89856803968010,-77.03947262731110,,0,461057,396682,2,2A,2A05,SECOND,207,5,NONE,NONE,NONE,PHONE
14-00029868,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:51:01 PM,CLOSED,1,DDOT,N,2/9/2014 8:23:33 PM,UNKNOWN,2/9/2014 8:18:41 PM,2/14/2014 6:51:01 PM,Comments update:  14-00029868-Broken Parking Meter  Meter Found Working,,2/7/2014 6:51:01 PM,2/9/2014 11:48:44 PM,3200 - 3229 BLOCK WATER STREET NW,38.90268692992390,-77.06333515501050,,0,454846,390874,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,OPEN311
14-00029869,UNKNOWN,S05SL,Streetlight Repair Investigation,TRAOP001,TOA,2/7/2014 6:51:03 PM,OVERDUE CLOSED,1,DDOT,N,9/12/2014 12:39:09 PM,UNKNOWN,10/1/2014 9:55:14 AM,2/11/2014 6:51:03 PM,"Comments update:  14-00029869-THE STREETLIGHT IS LOCATED DIRECTLY IN FRONT OF THIS ADDRESS. By SARTIN, LANEL: 9/12/2014 12:35:27 PM This service request can be closed.  Work was either completed 100% or this is a duplicate.  Anything prior to the Current Streetlight contract can be closed per Jama Abdi on 9-12-2014. ",,2/7/2014 6:51:03 PM,10/1/2014 11:12:50 AM,3123 PATTERSON PLACE NW,38.96846427060330,-77.06250441090760,20015,260160,103044,103044,4,3G,3G04,SECOND,201,10,NONE,NONE,NONE,PHONE
14-00029870,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:53:47 PM,CLOSED,1,DDOT,N,2/9/2014 10:38:48 PM,UNKNOWN,2/9/2014 10:33:15 PM,2/14/2014 6:53:47 PM,Comments update:  14-00029870-Broken Parking Meter  Meter Found Working,,2/7/2014 6:53:47 PM,2/10/2014 1:07:15 AM,900 - 999 BLOCK 13TH STREET NW,38.90192441954330,-77.02962310400780,,0,455514,391542,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,OPEN311
14-00029871,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:54:01 PM,CLOSED,1,DDOT,N,2/11/2014 4:37:28 PM,UNKNOWN,2/11/2014 4:33:28 PM,2/14/2014 6:54:01 PM,Comments update:  14-00029871-Broken Parking Meter  Meter Found Working,,2/7/2014 6:54:01 PM,2/12/2014 10:07:22 AM,1300 - 1399 BLOCK 14TH STREET NW,38.90803887971160,-77.03195007439310,,0,455213,391241,2,2F,2F02,THIRD,307,7,NONE,NONE,NONE,OPEN311
14-00029872,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 6:54:33 PM,CLOSED,1,DPW,Y,2/7/2014 9:32:00 PM,Ticket Issued - Close SR,2/7/2014 9:33:44 PM,2/11/2014 6:54:33 PM,NOI 8123872190 @ 9:12PM NOI 8123872212 @ 9:19PM  BDG 414,,2/7/2014 6:54:33 PM,2/7/2014 10:13:36 PM,56 SEATON PLACE NW,38.91464557936430,-77.01093166288950,20001,227131,70169,70169,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,PHONE
14-00029873,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:58:59 PM,CLOSED,1,DDOT,N,2/11/2014 12:06:57 PM,UNKNOWN,2/11/2014 12:03:09 PM,2/14/2014 6:58:59 PM,Comments update:  14-00029873-Broken Parking MeterMeter Repaired,,2/7/2014 6:58:59 PM,2/11/2014 8:39:18 PM,1300 - 1318 BLOCK 19TH STREET NW,38.90757117831160,-77.04344284310720,,0,476365,409789,2,2B,2B06,SECOND,208,6,NONE,NONE,NONE,OPEN311
14-00029874,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 6:59:09 PM,CLOSED,1,DDOT,N,2/11/2014 11:21:50 PM,UNKNOWN,2/11/2014 11:18:32 PM,2/14/2014 6:59:09 PM,Comments update:  14-00029874-Broken Parking Meter  Meter Found Working,,2/7/2014 6:59:09 PM,2/12/2014 10:36:13 AM,1700 - 1749 BLOCK R STREET NW,38.91260748474190,-77.039571789417,,0,456014,392042,2,2B,2B03,THIRD,301,6,NONE,NONE,NONE,OPEN311
14-00029875,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 7:00:12 PM,CLOSED,1,DPW,Y,2/7/2014 10:24:00 PM,Not Enforceable - Close SR,2/7/2014 10:25:07 PM,2/11/2014 7:00:12 PM,NO VIOLATION @ 9:51PM  BDG 133,,2/7/2014 7:00:12 PM,2/7/2014 10:35:46 PM,924 6TH STREET NE,38.90197197249760,-76.99867917843380,20002,82645,53800,53800,6,6C,6C04,FIRST,104,25,NONE,NONE,NONE,OPEN311
14-00029876,UNKNOWN,S05SL,Streetlight Repair Investigation,TRAOP001,TOA,2/7/2014 7:00:24 PM,CLOSED,1,DDOT,N,2/10/2014 2:21:13 AM,UNKNOWN,2/10/2014 2:18:08 AM,2/11/2014 7:00:24 PM,"Comments update:  14-00029876-Street Light 2301-2449 11th St NW, Washington, District of Columbia   This issue has an image. You can view it here http://seeclickfix.com/issues/930870 .   Street Light out at corner of 11th Street, NW and Florida Avenue,  NRepairs Completed",,2/7/2014 7:00:24 PM,2/10/2014 4:07:21 AM,1100 FLORIDA AVENUE NW,38.92062387331150,-77.02738068821410,20009,238971,82279,82279,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,OPEN311
14-00029877,UNKNOWN,S05SL,Streetlight Repair Investigation,TRAOP001,TOA,2/7/2014 7:00:42 PM,OVERDUE CLOSED,1,DDOT,N,2/18/2014 1:38:54 AM,UNKNOWN,2/18/2014 1:33:06 AM,2/11/2014 7:00:42 PM,Comments update:  14-00029877-THE STREETLIGHTS 2 BLOCKS AWAY FROM FORT TOTTEN METRO STATION ARE OUTNo Action Taken,,2/7/2014 7:00:42 PM,2/18/2014 2:40:44 AM,550 GALLOWAY STREET NE,38.95220123152270,-77.00233559178670,20011,294852,411700,354533,5,5A,5A01,FOURTH,405,19,NONE,NONE,NONE,PHONE
14-00029878,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 7:00:45 PM,CLOSED,1,DDOT,N,2/8/2014 8:51:43 AM,UNKNOWN,2/8/2014 8:48:24 AM,2/12/2014 7:00:45 PM,"Comments update:  14-00029878-On Michigan between 12th and 13th Streets By MARSHALL, CELICIA: 2/8/2014 8:48:21 AM NEEDS TO BE CUT AND DEEP PATCH IN THE CURB LANE. THERE ARE CONES AT THIS LOCATION TO MAKR THIS LOCATION SAFE UNTIL WORK IS COMPLETED. ",,2/7/2014 7:00:45 PM,2/9/2014 12:36:02 AM,12TH STREET NE & MICHIGAN AVENUE NE,38.93876499379670,-76.990234348487,,0,206597,206597,5,5A,5A06,FIFTH,504,20,NONE,NONE,NONE,PHONE
14-00029879,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 7:00:56 PM,CLOSED,1,DDOT,N,2/11/2014 12:52:03 PM,UNKNOWN,2/11/2014 12:48:31 PM,2/14/2014 7:00:56 PM,Comments update:  14-00029879-Broken Parking Meter  Meter Found Working,,2/7/2014 7:00:56 PM,2/12/2014 1:07:26 AM,600 - 649 BLOCK MAINE AVENUE SW,38.87676057769870,-77.02064096083510,,0,470632,405065,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,OPEN311
14-00029880,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 7:02:46 PM,CLOSED,1,DDOT,N,2/11/2014 2:22:13 PM,UNKNOWN,2/11/2014 2:18:24 PM,2/14/2014 7:02:46 PM,Comments update:  14-00029880-Broken Parking Meter  Meter Found Working,,2/7/2014 7:02:46 PM,2/12/2014 7:36:16 AM,800 - 899 BLOCK 21ST STREET NW,38.90013517750910,-77.046649665394,,0,455446,391474,2,2A,2A01,SECOND,207,5,NONE,NONE,NONE,OPEN311
14-00029881,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 7:04:54 PM,CLOSED,1,DPW,Y,2/7/2014 9:50:00 PM,Not Enforceable - Close SR,2/7/2014 9:52:08 PM,2/11/2014 7:04:54 PM,NO VIOLATION HAD A PERMIT NUMBER IS 5-233  BDG 414,,2/7/2014 7:04:54 PM,2/7/2014 10:13:36 PM,119 SEATON PLACE NW,38.91495443605420,-77.01306683331950,20001,227218,69976,69976,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,PHONE
14-00029882,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 7:05:07 PM,CLOSED,1,DDOT,N,2/11/2014 12:06:57 PM,UNKNOWN,2/11/2014 12:03:10 PM,2/14/2014 7:05:07 PM,Comments update:  14-00029882-Broken Parking MeterMeter Repaired,,2/7/2014 7:05:07 PM,2/11/2014 8:39:18 PM,1300 - 1318 BLOCK 19TH STREET NW,38.90757117831160,-77.04344284310720,,0,476365,409789,2,2B,2B06,SECOND,208,6,NONE,NONE,NONE,OPEN311
14-00029883,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 7:08:56 PM,CLOSED,1,DPW,N,,UNKNOWN,2/19/2014 2:10:17 PM,3/4/2014 7:08:56 PM,,,2/7/2014 7:08:56 PM,2/19/2014 2:40:07 PM,303 NICHOLSON STREET NE,38.96032911369010,-77.002508927394,20011,41674,29396,29396,4,4B,4B09,FOURTH,406,19,NONE,NONE,NONE,PHONE
14-00029884,UNKNOWN,S0466,Utility Repair Investigation,SISYINOD,SIOD ,2/7/2014 7:10:10 PM,CLOSED,1,DDOT,N,2/19/2014 2:34:48 PM,UNKNOWN,3/5/2014 10:18:23 AM,5/6/2014 7:10:10 PM,"Comments update:  14-00029884-Utility Repair 400-416 12th Street Southeast, Washington, DC 20003, USA  By CRAIG, DIRK: 2/19/2014 2:29:54 PM Per Inspector McCreary, There is a temp cut the roadway made by DC Water, permanent restoration is pending and the inspector will follow up.  ",,2/7/2014 7:10:10 PM,3/5/2014 10:38:14 AM,401 12TH STREET SE,38.883966476383,-76.99051696493030,20003,28126,16520,16520,6,6B,6B04,FIRST,107,26,NONE,NONE,NONE,OPEN311
14-00029885,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 7:10:39 PM,CLOSED,1,DDOT,N,2/10/2014 7:38:08 PM,UNKNOWN,2/10/2014 7:33:20 PM,2/14/2014 7:10:39 PM,Comments update:  14-00029885-Broken Parking Meter  Meter Found Working,,2/7/2014 7:10:39 PM,2/10/2014 8:37:22 PM,300 - 498 BLOCK INDIANA AVENUE NW,38.89481087269270,-77.01755280555330,,0,455461,391489,2,6C,6C09,FIRST,102,8,NONE,NONE,NONE,OPEN311
14-00029886,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 7:11:12 PM,CLOSED,1,DDOT,N,2/11/2014 12:52:03 PM,UNKNOWN,2/11/2014 12:48:31 PM,2/14/2014 7:11:12 PM,Comments update:  14-00029886-Broken Parking Meter  Meter Found Working,,2/7/2014 7:11:12 PM,2/12/2014 1:07:26 AM,300 - 498 BLOCK INDIANA AVENUE NW,38.89481087269270,-77.01755280555330,,0,455461,391489,2,6C,6C09,FIRST,102,8,NONE,NONE,NONE,OPEN311
14-00029887,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 7:11:13 PM,CLOSED,1,DDOT,N,2/11/2014 12:06:57 PM,UNKNOWN,2/11/2014 12:03:10 PM,2/14/2014 7:11:13 PM,Comments update:  14-00029887-Broken Parking MeterMeter Repaired,,2/7/2014 7:11:13 PM,2/11/2014 8:39:18 PM,1300 - 1318 BLOCK 19TH STREET NW,38.90757117831160,-77.04344284310720,,0,476365,409789,2,2B,2B06,SECOND,208,6,NONE,NONE,NONE,OPEN311
14-00029888,UNKNOWN,S05SL,Streetlight Repair Investigation,TRAOP001,TOA,2/7/2014 7:14:27 PM,OVERDUE CLOSED,1,DDOT,N,2/12/2014 12:08:21 PM,UNKNOWN,2/12/2014 12:03:07 PM,2/11/2014 7:14:27 PM,Comments update:  14-00029888-Repairs Completed,,2/7/2014 7:14:27 PM,2/12/2014 12:36:04 PM,139 ELMIRA STREET SW,38.826258870301,-77.01126269948540,20032,65375,40591,40591,8,8D,8D06,SEVENTH,708,39,NONE,NONE,NONE,PHONE
